"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note",Industry
"392","japan","000"," World",2023,10290210,,1,"D  ",,"30,600yen/each","---(1) Weighing not more than 300 kg","Free-trade agreement duty rate for Australia","S","",Agriculture
"392","japan","000"," World",2023,10290210,,1,"F  ",,"23,906.25yen/each","---(1) Weighing not more than 300 kg","Japan-EU EPA","S","",Agriculture
"392","japan","000"," World",2023,10290210,,5,"0  ",0,"","---(1) Weighing not more than 300 kg","Least Developed Countries (LDC) duties","A","","",Agriculture
"392","japan","000"," World",2023,10290210,,8,"0  ",,"45,000yen/each","---(1) Weighing not more than 300 kg","General duty","S","",Agriculture
"392","japan","000"," World",2023,10290290,,0,"1  ",,"63,750yen/each","---(2) Other","MFN current bound duty rates","S","",Agriculture
"392","japan","000"," World",2023,10290290,,1,"D  ",,"51,000yen/each","---(2) Other","Free-trade agreement duty rate for Australia","S","",Agriculture
"392","japan","000"," World",2023,10290290,,1,"F  ",,"39,843.75yen/each","---(2) Other","Japan-EU EPA","S","",Agriculture
"392","japan","000"," World",2023,10290290,,5,"0  ",0,"","---(2) Other","Least Developed Countries (LDC) duties","A","","",Agriculture
"392","japan","000"," World",2023,10310000,,0,"1  ",0,"","-Pure-bred breeding animals","MFN current bound duty rates","A","","",Agriculture
"392","japan","000"," World",2023,10391000,,0,"1  ",8.5,"","--Weighing less than 50 kg","MFN current bound duty rates","A","","",Agriculture
