S/N,HS Code,HS Description,HS Qty Unit,Competent Authorities - Controlling by HS Code,,,CA Product Code,CA Product Description,CA Product Qty Unit,Competent Authorities - Controlling by Product Code,,,Duty Rates,
64,01061900,OTHER LIVE MAMMALS (NMB),NMB,ANI,ANI,ANI,VPA0CA,LIVE CATS (COMMERCIAL),NMB,ANI,ANI,ANI,-,-
65,01061900,OTHER LIVE MAMMALS (NMB),NMB,ANI,ANI,ANI,VPA0CL,LIVE CHINCHILLAS,NMB,ANI,ANI,ANI,-,-
66,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NMAUJAP,JAPANESE POND TURTLE (MAUREMYS JAPONICA),HDS,CIT,CIT,CIT,-,-
67,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NMAUNIG,RED-NECKED POND (MAUREMYS NIGRICANS),HDS,CIT,CIT,CIT,-,-
68,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NMETR,INDIAN BLACK TURTLE (MELANOCHELYS TRIJUGA),HDS,CIT,CIT,CIT,-,-
69,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NMOPE,INDIAN EYED TURTLE (MORENIA PETERSI),HDS,CIT,CIT,CIT,-,-
70,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NMOSP,PYTHON (MORELIA SPP.),HDS,CIT,CIT,CIT,-,-
71,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NMOVI,GREEN TREE PYTHON (MORELIA VIRIDIS),HDS,CIT,CIT,CIT,-,-
72,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NNANA,COBRA (NAJA NAJA SPP.),HDS,CIT,CIT,CIT,-,-
73,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NNAPH,PHILIPPINE SPITTING COBRA (NAJA PHILIPPINENSIS),HDS,CIT,CIT,CIT,-,-
