S/N,HS Code,HS Description,HS Qty Unit,Competent Authorities - Controlling by HS Code,,,CA Product Code,CA Product Description,CA Product Qty Unit,Competent Authorities - Controlling by Product Code,,,Duty Rates,
9847,29291090,OTHER ISOCYANATES (KGM),KGM,"CCD
SCD",CCD,-,PCDETH113,ETHYL ISOCYANATOACETATE,KGM,CCD,CCD,-,-,-
9848,29291090,OTHER ISOCYANATES (KGM),KGM,"CCD
SCD",CCD,-,PCDETH115,ETHOXYCARBONYL ISOCYANATE,KGM,CCD,CCD,-,-,-
9849,29291090,OTHER ISOCYANATES (KGM),KGM,"CCD
SCD",CCD,-,PCDHED111,HEXAMETHYLENE DIISOCYANATE,KGM,CCD,CCD,-,-,-
9850,29291090,OTHER ISOCYANATES (KGM),KGM,"CCD
SCD",CCD,-,PCDISD111,ISOPHORONE DIISOCYANATE,KGM,CCD,CCD,-,-,-
9851,29291090,OTHER ISOCYANATES (KGM),KGM,"CCD
SCD",CCD,-,PCDMED112,METHYL ISOCYANATE,KGM,CCD,CCD,-,-,-
9852,29291090,OTHER ISOCYANATES (KGM),KGM,"CCD
SCD",CCD,-,PCDMXD111,META-TETRA-METHYL XYLENE DIISOCYANATE,KGM,CCD,CCD,-,-,-
9853,29291090,OTHER ISOCYANATES (KGM),KGM,"CCD
SCD",CCD,-,PCDMXD112,META XYLENE DIISOCYANATE,KGM,CCD,CCD,-,-,-
9854,29291090,OTHER ISOCYANATES (KGM),KGM,"CCD
SCD",CCD,-,PCDPHD111,"1,4-PHENYLENE DIISOCYANATE",KGM,CCD,CCD,-,-,-
9855,29291090,OTHER ISOCYANATES (KGM),KGM,"CCD
SCD",CCD,-,PCDPHI111,PHENYL ISOCYANATE; BENZYL CYANIDE,KGM,CCD,CCD,-,-,-
9856,29291090,OTHER ISOCYANATES (KGM),KGM,"CCD
SCD",CCD,-,PCDPHI112,4    - FLUOROPHENYL ISOCYANATE,KGM,CCD,CCD,-,-,-
9857,29291090,OTHER ISOCYANATES (KGM),KGM,"CCD
SCD",CCD,-,PCDPHI113,4    - CHLOROPHENYL ISOCYANATE,KGM,CCD,CCD,-,-,-
9858,29291090,OTHER ISOCYANATES (KGM),KGM,"CCD
SCD",CCD,-,PCDPRI112,PROPYL ISOCYANATE; N-PROPYL ISOCYANATE,KGM,CCD,CCD,-,-,-
9859,29291090,OTHER ISOCYANATES (KGM),KGM,"CCD
SCD",CCD,-,PCDTEB112,TERT-BUTYL ISOCYANATE,KGM,CCD,CCD,-,-,-
9860,29291090,OTHER ISOCYANATES (KGM),KGM,"CCD
SCD",CCD,-,PCDTRT111,"TRIPHENYLMETHANE-4,4,4-TRIISOCYANATE; TRIPHENYLMETHANE DIISOCYANATE",KGM,CCD,CCD,-,-,-
9861,29291090,OTHER ISOCYANATES (KGM),KGM,"CCD
SCD",CCD,-,PCDTSI111,4-TOLUENE SULFONYL ISOCYANATE,KGM,CCD,CCD,-,-,-
9862,29291090,OTHER ISOCYANATES (KGM),KGM,"CCD
SCD",CCD,-,PCDTSI113,3(TRIMETHOXYSILYL)PROPYL ISOCYANATE; 3-ISOCYANATOPROPYL TRIMETHOXYSILANE,KGM,CCD,CCD,-,-,-
9863,29291090,OTHER ISOCYANATES (KGM),KGM,"CCD
SCD",CCD,-,PCDTTI112,"2,2,4-TRIMETHYLHEXAMETHYLENE-1,6-DIISOCYANATE",KGM,CCD,CCD,-,-,-
9864,29291090,OTHER ISOCYANATES (KGM),KGM,"CCD
SCD",CCD,-,PCDTTI113,"2,4,4-TRIMETHYLHEXAMETHYLENE-1,6-DIISOCYANATE",KGM,CCD,CCD,-,-,-
9865,29291090,OTHER ISOCYANATES (KGM),KGM,"CCD
SCD",CCD,-,PCDALL112,ALLYL ISOCYANATE,KGM,CCD,CCD,-,-,-
9866,29291090,OTHER ISOCYANATES (KGM),KGM,"CCD
SCD",CCD,-,PCDBEI111,BENZENE 1-(1-ISOCYANATO-1-METHYL ETHYL)-3-(1-METHYL ETHENYL),KGM,CCD,CCD,-,-,-
9867,29291090,OTHER ISOCYANATES (KGM),KGM,"CCD
SCD",CCD,-,PCDBEI112,BENZYL ISOCYANATE,KGM,CCD,CCD,-,-,-
9868,29291090,OTHER ISOCYANATES (KGM),KGM,"CCD
SCD",CCD,-,PCDBIS114,"1,3-BIS(ISOCYANATOMETHYL)CYCLOHEXANE",KGM,CCD,CCD,-,-,-
9869,29291090,OTHER ISOCYANATES (KGM),KGM,"CCD
SCD",CCD,-,PCDBUI111,BUTYL ISOCYANATE,KGM,CCD,CCD,-,-,-
9870,29291090,OTHER ISOCYANATES (KGM),KGM,"CCD
SCD",CCD,-,PCDDIC112,"DICYCLOHEXYLMETHANE-4,4'-DIISOCYANATE; METHYLENE BIS(4-CYCLOHEXYLISOCYANATE)",KGM,CCD,CCD,-,-,-
9871,29291090,OTHER ISOCYANATES (KGM),KGM,"CCD
SCD",CCD,-,PCDDID113,"2,4'-DIPHENYLMETHANE DIISOCYANATE",KGM,CCD,CCD,-,-,-
9872,29291090,OTHER ISOCYANATES (KGM),KGM,"CCD
SCD",CCD,-,SCDEIC2481L1,ETHYL ISOCYANATE,KGM,SCD,-,-,-,-
9873,29291090,OTHER ISOCYANATES (KGM),KGM,"CCD
SCD",CCD,-,SCDFMLAMISC,-,KGM,SCD,-,-,-,-
9874,29291090,OTHER ISOCYANATES (KGM),KGM,"CCD
SCD",CCD,-,SCDIBI2486L1,ISOBUTYL ISOCYANATE,KGM,SCD,-,-,-,-
9875,29291090,OTHER ISOCYANATES (KGM),KGM,"CCD
SCD",CCD,-,SCDIPI2483L1,ISOPROPYL ISOCYANATE,KGM,SCD,-,-,-,-
9876,29291090,OTHER ISOCYANATES (KGM),KGM,"CCD
SCD",CCD,-,SCDMMI2605L1,METHOXYMETHYL ISOCYANATE,KGM,SCD,-,-,-,-
9877,29299010,SODIUM CYCLAMATE (KGM),KGM,PFO,-,-,ZRP0FSC0000,SODIUM CYCLAMATE,KGM,PFO,-,-,-,-
9878,29299020,OTHER CYCLAMATES (KGM),KGM,PFO,-,-,ZRP0FSD0000,OTHER CYCLAMATES,KGM,PFO,-,-,-,-
9879,29299090,OTHER COMPOUNDS WITH OTHER NITROGEN-FUNCTION (KGM),KGM,"PFO
CCD
SCD
CWC
GEW","CCD
CWC
GEW",GEW,ZRP0FSE0000,OTHER SWEETENING SUBSTANCES SIMILAR TO CYCLAMATE (OTHER COMPOUNDS WITH OTHER NITROGEN FUNCTION),KGM,PFO,-,-,-,-
9880,29299090,OTHER COMPOUNDS WITH OTHER NITROGEN-FUNCTION (KGM),KGM,"PFO
CCD
SCD
CWC
GEW","CCD
CWC
GEW",GEW,PCDPRO113,PROPETAMPHOS,KGM,CCD,CCD,-,-,-
9881,29299090,OTHER COMPOUNDS WITH OTHER NITROGEN-FUNCTION (KGM),KGM,"PFO
CCD
SCD
CWC
GEW","CCD
CWC
GEW",GEW,ANEXDE013,"NITROGUANIDINE, WETTED OR PICRITE, WETTED WITH NOT LESS THAN 20 PERCENT WATER, BY MASS",KGM,GEW,GEW,GEW,-,-
9882,29299090,OTHER COMPOUNDS WITH OTHER NITROGEN-FUNCTION (KGM),KGM,"PFO
CCD
SCD
CWC
GEW","CCD
CWC
GEW",GEW,SCDDPD0000L3,"N,N-DIALKYL (ME, ET, N-PR OR I-PR) PHOSPHORAMIDIC DIHALIDES",KGM,SCD,-,-,-,-
9883,29299090,OTHER COMPOUNDS WITH OTHER NITROGEN-FUNCTION (KGM),KGM,"PFO
CCD
SCD
CWC
GEW","CCD
CWC
GEW",GEW,S1AN05,"O-ALKYL (H OR <=C10, INCL. CYCLOALKYL) N-(1-(DIALKYL(<=C10, INCL. CYCLOALKYL)AMINO))ALKYLIDENE(H OR <=C10, INCL. CYCLOALKYL) PHOSPHORAMIDOFLUORIDATES AND CORRESPONDING ALKYLATED OR PROTONATED SALTS E.G. O-N-DECYL N-(1-(DI-N-DECYLAMINO)-N-DECYLIDENE)PHOSPHORAMIDOFLUORIDATE E.G. METHYL (1-(DIETHYLAMINO)ETHYLIDENE) PHOSPHORAMIDOFLUORIDATE E.G. ETHYL (1-(DIETHYLAMINO)ETHYLIDENE) PHOSPHORAMIDOFLUORIDATE",MC,CWC,CWC,-,-,-
9884,29299090,OTHER COMPOUNDS WITH OTHER NITROGEN-FUNCTION (KGM),KGM,"PFO
CCD
SCD
CWC
GEW","CCD
CWC
GEW",GEW,S2BN02,"N,N-DIALKYL (ME, ET, N-PR OR I-PR) PHOSPHORAMIDIC DIHALIDES",KGM,CWC,CWC,-,-,-
9885,29299090,OTHER COMPOUNDS WITH OTHER NITROGEN-FUNCTION (KGM),KGM,"PFO
CCD
SCD
CWC
GEW","CCD
CWC
GEW",GEW,S2BN03,"DIALKYL (ME, ET, N-PR OR I-PR) N,N-DIALKYL (ME, ET, N-PR OR I-PR)-PHOSPHORAMIDATES",KGM,CWC,CWC,-,-,-
9886,29299090,OTHER COMPOUNDS WITH OTHER NITROGEN-FUNCTION (KGM),KGM,"PFO
CCD
SCD
CWC
GEW","CCD
CWC
GEW",GEW,PCDOAN111,"O-ALKYL (H OR <= C10, INCL. CYCLOALKYL) N-(1-(DIALKYL(<= C10, INCL. CYCLOALKYL)AMINO))ALKYLIDENE(H OR <= C10, INCL. CYCLOALKYL) PHOSPHORAMIDOFLUORIDATES AND CORRESPONDING ALKYLATED OR PROTONATED SALTS",KGM,CCD,CCD,-,-,-
9887,29299090,OTHER COMPOUNDS WITH OTHER NITROGEN-FUNCTION (KGM),KGM,"PFO
CCD
SCD
CWC
GEW","CCD
CWC
GEW",GEW,PCDOAN112,O-N-DECYL N-(1-(DI-N-DECYLAMINO)-N-DECYLIDENE)PHOSPHORAMIDOFLUORIDATE,KGM,CCD,CCD,-,-,-
9888,29299090,OTHER COMPOUNDS WITH OTHER NITROGEN-FUNCTION (KGM),KGM,"PFO
CCD
SCD
CWC
GEW","CCD
CWC
GEW",GEW,PCDOAN113,METHYL (1-(DIETHYLAMINO)ETHYLIDENE) PHOSPHORAMIDOFLUORIDATE,KGM,CCD,CCD,-,-,-
9889,29299090,OTHER COMPOUNDS WITH OTHER NITROGEN-FUNCTION (KGM),KGM,"PFO
CCD
SCD
CWC
GEW","CCD
CWC
GEW",GEW,PCDOAN114,ETHYL (1-(DIETHYLAMINO)ETHYLIDENE)PHOSPHORAMIDOFLUORIDATE,KGM,CCD,CCD,-,-,-
9890,29299090,OTHER COMPOUNDS WITH OTHER NITROGEN-FUNCTION (KGM),KGM,"PFO
CCD
SCD
CWC
GEW","CCD
CWC
GEW",GEW,PCDOAN115,O-BUTYL N-(1-(DIBUTYLAMINO)BUTYLIDENE)PHOSPHORAMIDOFLUORIDATE,KGM,CCD,CCD,-,-,-
9891,29299090,OTHER COMPOUNDS WITH OTHER NITROGEN-FUNCTION (KGM),KGM,"PFO
CCD
SCD
CWC
GEW","CCD
CWC
GEW",GEW,PCDDND111,"DIALKYL (ME, ET, N-PR OR I-PR) N,N-DIALKYL (ME, ET, N-PR OR I-PR)-PHOSPHORAMIDATES",KGM,CCD,CCD,-,-,-
9892,29299090,OTHER COMPOUNDS WITH OTHER NITROGEN-FUNCTION (KGM),KGM,"PFO
CCD
SCD
CWC
GEW","CCD
CWC
GEW",GEW,MISC,NON-CONTROLLED ITEM,KGM,"PFO
CCD
SCD
CWC
GEW","CCD
CWC
GEW",GEW,-,-
9893,29301000,"2-(N,N-DIMETHYLAMINO) ETHANETHIOL (KGM)",KGM,"CCD
CWC","CCD
CWC",-,S2BN04,"2-(N,N-DIMETHYLAMINO) ETHANETHIOL",KGM,CWC,CWC,-,-,-
9894,29301000,"2-(N,N-DIMETHYLAMINO) ETHANETHIOL (KGM)",KGM,"CCD
CWC","CCD
CWC",-,PCDNAT113,"2-(N,N-DIMETHYLAMINO)ETHANETHIOL",KGM,CCD,CCD,-,-,-
9895,29302000,THIOCARBAMATES & DITHIOCARBAMATES (KGM),KGM,-,-,-,-,-,-,-,-,-,-,-
9896,29303000,THIURAM MONO- DI- OR TETRASULPHIDES (KGM),KGM,-,-,-,-,-,-,-,-,-,-,-
9897,29304000,METHIONINE (KGM),KGM,-,-,-,-,-,-,-,-,-,-,-
9898,29306000,"2-(N,N-DIETHYLAMINO) ETHANETHIOL (KGM)",KGM,"CCD
CWC","CCD
CWC",-,S2BN04,"2-(N,N-DIETHYLAMINO)ETHANETHIOL",KGM,CWC,CWC,-,-,-
9899,29306000,"2-(N,N-DIETHYLAMINO) ETHANETHIOL (KGM)",KGM,"CCD
CWC","CCD
CWC",-,PCDNAT112,"2-(N,N-DIETHYLAMINO)ETHANETHIOL",KGM,CCD,CCD,-,-,-
9900,29307000,BIS (2-HYDROXYETHYL) SULFIDE (THIODIGLYCOL (INN)) (KGM),KGM,"CCD
CWC","CCD
CWC",-,S2BB05,THIODIGLYCOL: BIS(2-HYDROXYETHYL)SULFIDE,KGM,CWC,CWC,-,-,-
9901,29307000,BIS (2-HYDROXYETHYL) SULFIDE (THIODIGLYCOL (INN)) (KGM),KGM,"CCD
CWC","CCD
CWC",-,PCDTDG111,THIODIGLYCOL: BIS(2-HYDROXYETHYL)SULFIDE,KGM,CCD,CCD,-,-,-
9902,29308000,ALDICARB (ISO) & CAPTAFOL (ISO) & METHAMIDOPHOS (ISO) (KGM),KGM,CCD,CCD,-,PCDALD112,ALDICARB,KGM,CCD,CCD,-,-,-
9903,29308000,ALDICARB (ISO) & CAPTAFOL (ISO) & METHAMIDOPHOS (ISO) (KGM),KGM,CCD,CCD,-,PCDCAP111,CAPTAFOL,KGM,CCD,CCD,-,-,-
9904,29308000,ALDICARB (ISO) & CAPTAFOL (ISO) & METHAMIDOPHOS (ISO) (KGM),KGM,CCD,CCD,-,PCDMET112,METHAMIDOPHOS,KGM,CCD,CCD,-,-,-
9905,29309010,DITHIOCARBONATES (KGM),KGM,-,-,-,-,-,-,-,-,-,-,-
9906,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,HSACDPSY,"ACTIVE PHARMACEUTICAL INGREDIENTS, LABORATORY REAGENT OF CONTROLLED DRUGS OR PSYCHOTROPIC SUBSTANCES.",KGM,HPR,-,-,-,-
9907,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,HSAPOIS,ACTIVE PHARMACEUTICAL INGREDIENTS; RAW MATERIALS OR LABORATORY REAGENTS REGULATED UNDER THE POISONS ACT; NOT OF CONTROLLED DRUGS OR PSYCHOTROPIC SUBSTANCES.,KGM,HPR,-,-,-,-
9908,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,PCDALL111,ALLYL ISOTHIOCYANATE,KGM,CCD,CCD,-,-,-
9909,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,PCDBUT111,BUTOCARBOXIM,KGM,CCD,CCD,-,-,-
9910,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,PCDBUT112,BUTOXYCARBOXIM,KGM,CCD,CCD,-,-,-
9911,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,PCDCHL130,CHLORFENSULPHIDE,KGM,CCD,CCD,-,-,-
9912,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,PCDCHL138,CHLORBENSIDE; 4-CHLOROBENZYL 4-CHLOROPHENYL SULFIDE,KGM,CCD,CCD,-,-,-
9913,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,PCDDIS112,DISULFOTON,KGM,CCD,CCD,-,-,-
9914,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,PCDEDI111,EDIFENPHOS,KGM,CCD,CCD,-,-,-
9915,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,PCDETA111,ETHYLMERCURY THIOSALICYLIC ACID.NA-SALT; SODIUM ETHYLMERCURIC THIOSALICYLATE,KGM,CCD,CCD,-,-,-
9916,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,PCDETM111,ETHYL MERCAPTAN; ETHANETHIOL,KGM,CCD,CCD,-,-,-
9917,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,PCDFLU112,FLUORBENZIDE,KGM,CCD,CCD,-,-,-
9918,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,PCDMEC117,MECARBAM,KGM,CCD,CCD,-,-,-
9919,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,PCDMEM111,METHYL MERCAPTAN; METHANETHIOL,KGM,CCD,CCD,-,-,-
9920,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,PCDMER111,METHIOCARB; MERCAPTODIMETHUR,KGM,CCD,CCD,-,-,-
9921,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,PCDPHE113,PHENAMIPHOS; FENAMIPHOS,KGM,CCD,CCD,-,-,-
9922,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,PCDPHE114,PHENTHOATE,KGM,CCD,CCD,-,-,-
9923,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,PCDPMM111,PERCHLORO METHYL MERCAPTAN,KGM,CCD,CCD,-,-,-
9924,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,PCDPRO112,PROFENOPHOS; PROFENOFOS,KGM,CCD,CCD,-,-,-
9925,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,PCDSOT112,SODIUM THIOARSENATE,KGM,CCD,CCD,-,-,-
9926,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,PCDTET112,TETRADIFON,KGM,CCD,CCD,-,-,-
9927,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,PCDTET113,TETRASUL,KGM,CCD,CCD,-,-,-
9928,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,PCDTHI111,THIOMETON,KGM,CCD,CCD,-,-,-
9929,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,PCDTHI112,THIOFANOX,KGM,CCD,CCD,-,-,-
9930,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,PCDTHI114,THIODICARB,KGM,CCD,CCD,-,-,-
9931,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,PCDVAM111,VAMIDOTHION,KGM,CCD,CCD,-,-,-
9932,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,SCDAMM1111L2,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,SCD,-,-,-,-
9933,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,SCDDBS1993L3,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),LTR,SCD,-,-,-,-
9934,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,SCDDES2375L2,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,SCD,-,-,-,-
9935,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,SCDDMS1993L2,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,SCD,-,-,-,-
9936,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,SCDFMLAMISC,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,SCD,-,-,-,-
9937,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,SCDFMSMISC,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,SCD,-,-,-,-
9938,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,SCDMCB1993L3,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),LTR,SCD,-,-,-,-
9939,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,SCDMDF2381L2,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,SCD,-,-,-,-
9940,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,SCDMSF1164L2,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,SCD,-,-,-,-
9941,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,SCDPPE2402L2,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,SCD,-,-,-,-
9942,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,SCDTAA2435L2,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,SCD,-,-,-,-
9943,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,SCDTHD3341S2,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,SCD,-,-,-,-
9944,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,SCDXAN3342L2,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,SCD,-,-,-,-
9945,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,SCDXAN3342S2,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,SCD,-,-,-,-
9946,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,MISC,NON-CONTROLLED ITEM,KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,-,-
9947,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,SCDCCM0000L3,- 2- CHLOROETHYLCHLOROMETHYLSULFIDE,KGM,SCD,-,-,-,-
9948,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,SCDMBS2810L3,- MUSTARD GAS: BIS(2-CHLOROETHYL)SULFIDE,KGM,SCD,-,-,-,-
9949,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,SCDBCM2810L3,- BIS(2-CHLOROETHYLTHIO)METHANE,KGM,SCD,-,-,-,-
9950,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,SCDSBE2810L3,"- SESQUIMUSTARD: 1,2-BIS(2-CHLOROETHYLTHIO)ETHANE",KGM,SCD,-,-,-,-
9951,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,SCDBNP2810L3,"- 1,3-BIS(2-CHLOROETHYLTHIO)-N-PROPANE",KGM,SCD,-,-,-,-
9952,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,SCDBNB2810L3,"- 1,4-BIS(2-CHLOROETHYLTHIO)-N-BUTANE",KGM,SCD,-,-,-,-
9953,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,SCDBNP0000L2,"- 1,5-BIS(2-CHLOROETHYLTHIO)-N-PENTANE",KGM,SCD,-,-,-,-
9954,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,SCDBCE2810L3,- BIS(2-CHLOROETHYLTHIOMETHYL)ETHER,KGM,SCD,-,-,-,-
9955,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,SCDMCE0000L3,- O-MUSTARD: BIS(2-CHLOROETHYLTHIOETHYL)ETHER,KGM,SCD,-,-,-,-
9956,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,S1AB01,2- CHLOROETHYLCHLOROMETHYLSULFIDE,MC,CWC,CWC,-,-,-
9957,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,S1AB03,BIS(2-CHLOROETHYLTHIO)METHANE,MC,CWC,CWC,-,-,-
9958,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,S1AB04,"SESQUIMUSTARD: 1,2-BIS(2-CHLOROETHYLTHIO)ETHANE",MC,CWC,CWC,-,-,-
9959,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,S1AB06,"1,4-BIS(2-CHLOROETHYLTHIO)-N-BUTANE",MC,CWC,CWC,-,-,-
9960,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,S1AB07,"1,5-BIS(2-CHLOROETHYLTHIO)-N-PENTANE",MC,CWC,CWC,-,-,-
9961,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,S1AB08,BIS(2-CHLOROETHYLTHIOMETHYL)ETHER,MC,CWC,CWC,-,-,-
9962,29309090,OTHER ORGANO-SULPHUR COMPOUNDS (KGM),KGM,"HPR
CCD
SCD
CWC","CCD
CWC",-,S1AB09,O-MUSTARD: BIS(2-CHLOROETHYLTHIOETHYL)ETHER,MC,CWC,CWC,-,-,-
